Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2021-01-04 00:00:00",Conventional,1.237368120,161850.33,7225.73,130204.01,76.41,19476.68,,,,4867.50
Atlanta,Weekly,"2021-01-04 00:00:00",Conventional,0.816395018,780570.69,308199.17,45153.36,80.81,171244.48,,,,255892.88
Baltimore/Washington,Weekly,"2021-01-04 00:00:00",Conventional,1.039409638,1006837.64,220482.26,282498.61,3749.76,413855.38,,,,86251.63
Birmingham/Montgomery,Weekly,"2021-01-04 00:00:00",Conventional,0.731857476,348845.24,177970.28,12901.64,10.01,93996.81,,,,63966.51
Boise,Weekly,"2021-01-04 00:00:00",Conventional,0.874297582,152240.40,39164.12,15398.73,1232.75,29772.49,,,,66672.30
Boston,Weekly,"2021-01-04 00:00:00",Conventional,1.273201647,623044.67,14642.26,372121.22,181.13,154109.93,,,,81990.13
Buffalo/Rochester,Weekly,"2021-01-04 00:00:00",Conventional,1.012272650,201302.12,30482.25,60773.43,1802.31,104365.56,,,,3878.57
Charlotte,Weekly,"2021-01-04 00:00:00",Conventional,0.952500045,402939.91,152157.48,50128.38,4101.09,168420.19,,,,28132.77
Chicago,Weekly,"2021-01-04 00:00:00",Conventional,1.098823045,925862.64,104614.48,174551.01,38351.80,250084.67,,,,358260.68
Cincinnati/Dayton,Weekly,"2021-01-04 00:00:00",Conventional,0.793308154,349949.49,54812.11,67640.42,4372.69,29919.11,,,,193205.15
Columbus,Weekly,"2021-01-04 00:00:00",Conventional,0.795260730,297508.88,50051.11,55321.61,558.70,37631.57,,,,153945.89
"Dallas/Ft. Worth",Weekly,"2021-01-04 00:00:00",Conventional,0.647222675,1613422.02,506303.66,270772.43,24499.53,434926.55,,,,376919.85
Denver,Weekly,"2021-01-04 00:00:00",Conventional,0.850325006,1168996.22,203293.93,140360.77,2664.79,235530.22,,,,587146.51
Detroit,Weekly,"2021-01-04 00:00:00",Conventional,0.801523405,591668.29,80626.67,98002.93,106996.38,93035.47,,,,213006.84
"Grand Rapids",Weekly,"2021-01-04 00:00:00",Conventional,0.877533711,279386.29,20937.01,81616.42,112569.31,40844.97,,,,23418.58
Harrisburg/Scranton,Weekly,"2021-01-04 00:00:00",Conventional,1.072283893,365697.02,143018.57,104386.19,93.57,108811.75,,,,9386.93
Hartford/Springfield,Weekly,"2021-01-04 00:00:00",Conventional,1.157940764,379908.98,9975.11,282127.51,392.84,81286.07,,,,6127.45
Houston,Weekly,"2021-01-04 00:00:00",Conventional,0.635308857,1331361.36,469345.61,399669.28,2647.70,189867.31,,,,269831.46
Indianapolis,Weekly,"2021-01-04 00:00:00",Conventional,0.770142448,287617.01,50329.58,74769.91,2357.09,56841.16,,,,103319.27
Jacksonville,Weekly,"2021-01-04 00:00:00",Conventional,0.757617464,247075.75,107606.65,13227.95,56.52,63909.82,,,,62274.81
"Las Vegas",Weekly,"2021-01-04 00:00:00",Conventional,0.737537451,465545.35,57997.49,50634.75,262.11,117725.10,,,,238925.89
"Los Angeles",Weekly,"2021-01-04 00:00:00",Conventional,0.917450009,3618493.03,1000154.72,77034.65,198430.67,608636.07,,,,1734236.92
Louisville,Weekly,"2021-01-04 00:00:00",Conventional,0.872455334,147902.72,24216.92,25110.37,68.78,32094.53,,,,66412.11
"Miami/Ft. Lauderdale",Weekly,"2021-01-04 00:00:00",Conventional,0.778625022,1004953.80,472144.87,47940.87,88.99,246611.66,,,,238167.42
Nashville,Weekly,"2021-01-04 00:00:00",Conventional,0.800196820,313506.01,106661.68,20597.75,101.56,79466.55,,,,106678.47
"Northern New England",Weekly,"2021-01-04 00:00:00",Conventional,0.937388466,647812.66,14443.16,515104.23,85.52,65566.54,,,,52613.20
"New Orleans/Mobile",Weekly,"2021-01-04 00:00:00",Conventional,0.627580223,346790.12,156811.81,31061.98,109.86,111320.02,,,,47486.45
"New York",Weekly,"2021-01-04 00:00:00",Conventional,1.040338974,1980681.63,56397.88,1129766.54,1689.32,727268.11,,,,65559.78
Orlando,Weekly,"2021-01-04 00:00:00",Conventional,0.743142714,616300.15,249065.14,20526.00,113.01,200435.50,,,,146160.51
Peoria/Springfield,Weekly,"2021-01-04 00:00:00",Conventional,0.751966471,145676.64,37699.85,36896.36,519.80,33953.89,,,,36606.74
Philadelphia,Weekly,"2021-01-04 00:00:00",Conventional,0.896888099,675275.07,122215.74,214191.28,226.32,288538.82,,,,50102.91
Phoenix/Tucson,Weekly,"2021-01-04 00:00:00",Conventional,0.571119901,1701160.90,461850.12,253224.16,4792.35,144504.37,,,,836789.90
Pittsburgh,Weekly,"2021-01-04 00:00:00",Conventional,0.932001981,143064.62,44584.19,11210.54,0.94,34234.47,,,,53034.47
Portland,Weekly,"2021-01-04 00:00:00",Conventional,0.984592030,828617.98,110538.78,151228.41,9920.78,104731.05,,,,452198.96
Providence,Weekly,"2021-01-04 00:00:00",Conventional,1.371328321,75632.89,2515.17,45827.29,15.95,17220.26,,,,10054.22
Raleigh/Greensboro,Weekly,"2021-01-04 00:00:00",Conventional,0.935230025,493310.41,197659.02,80901.95,4258.07,182094.41,,,,28396.96
Richmond/Norfolk,Weekly,"2021-01-04 00:00:00",Conventional,0.919895738,341418.61,103356.09,71228.13,907.17,81838.06,,,,84089.16
Roanoke,Weekly,"2021-01-04 00:00:00",Conventional,0.825133392,206936.66,66026.79,30421.04,40.58,43360.72,,,,67087.53
Sacramento,Weekly,"2021-01-04 00:00:00",Conventional,1.016587539,586351.78,156627.51,231859.44,5628.47,95252.88,,,,96983.48
"San Diego",Weekly,"2021-01-04 00:00:00",Conventional,0.967494964,627265.00,114429.33,34766.51,22946.44,96059.01,,,,359063.71
"San Francisco",Weekly,"2021-01-04 00:00:00",Conventional,1.231064142,929856.91,261890.33,190107.26,9669.63,139821.83,,,,328367.85
Seattle,Weekly,"2021-01-04 00:00:00",Conventional,1.045812371,727908.15,80658.03,160889.06,292.22,71303.30,,,,414765.54
"South Carolina",Weekly,"2021-01-04 00:00:00",Conventional,0.841921966,566934.96,233586.35,57096.80,1390.62,163549.46,,,,111311.72
Spokane,Weekly,"2021-01-04 00:00:00",Conventional,0.880219949,102105.15,18703.11,21553.10,26.60,13509.33,,,,48313.01
"St. Louis",Weekly,"2021-01-04 00:00:00",Conventional,0.771893680,260282.81,126383.81,11806.46,42.50,64029.38,,,,58020.66
Syracuse,Weekly,"2021-01-04 00:00:00",Conventional,1.125238864,96019.57,10394.61,47725.88,707.64,33756.90,,,,3434.55
Tampa,Weekly,"2021-01-04 00:00:00",Conventional,0.743520003,646137.76,258312.56,29575.77,12.61,181338.38,,,,176898.44
Toledo,Weekly,"2021-01-04 00:00:00",Conventional,0.777138736,170528.35,27093.78,35128.92,18452.77,25310.31,,,,64542.58
"West Tex/New Mexico",Weekly,"2021-01-04 00:00:00",Conventional,0.617190119,994342.09,307507.02,205591.04,20367.81,267345.80,,,,193530.43
Wichita,Weekly,"2021-01-04 00:00:00",Conventional,0.706417134,124088.68,30657.29,6300.59,10.92,31240.94,,,,55878.94
California,Weekly,"2021-01-04 00:00:00",Conventional,0.991030549,7261522.15,2011888.77,811603.22,269542.45,1168833.06,,,,2999654.65
"Great Lakes",Weekly,"2021-01-04 00:00:00",Conventional,0.863859431,4767200.53,733876.45,1065056.49,450674.37,874548.76,,,,1643044.46
Midsouth,Weekly,"2021-01-04 00:00:00",Conventional,0.910548910,4336569.06,1396050.13,771079.52,16438.82,1387271.24,,,,765729.36
Northeast,Weekly,"2021-01-04 00:00:00",Conventional,1.059885724,5841773.93,492276.14,3207514.64,7181.81,1762620.14,,,,372181.20
Plains,Weekly,"2021-01-04 00:00:00",Conventional,0.785545678,2371391.81,690005.80,788953.19,1405.99,559893.79,,,,331133.04
"South Central",Weekly,"2021-01-04 00:00:00",Conventional,0.619392800,6636434.60,2712266.15,1162292.76,163523.72,1491236.83,,,,1107115.14
Southeast,Weekly,"2021-01-04 00:00:00",Conventional,0.769493386,5670398.93,2436409.73,306664.15,2344.43,1508427.19,,,,1416553.43
West,Weekly,"2021-01-04 00:00:00",Conventional,0.790531800,8503509.75,1768308.32,1302797.27,36253.34,1335466.97,,,,4060683.85
"Total U.S.",Weekly,"2021-01-04 00:00:00",Conventional,0.848532623,45388800.75,12241081.49,9415961.22,947364.93,10088297.98,,,,12696095.12
Albany,Weekly,"2021-01-04 00:00:00",Organic,1.611081563,2726.21,57.84,391.37,10.21,2117.76,,,,149.03
Atlanta,Weekly,"2021-01-04 00:00:00",Organic,1.358807493,31182.76,81.84,3103.74,0.00,11952.26,,,,16044.93
Baltimore/Washington,Weekly,"2021-01-04 00:00:00",Organic,1.321226904,70010.93,582.56,3440.00,0.00,63143.03,,,,2845.34
Birmingham/Montgomery,Weekly,"2021-01-04 00:00:00",Organic,1.156438680,10587.92,27.75,192.96,0.00,9580.48,,,,786.73
Boise,Weekly,"2021-01-04 00:00:00",Organic,1.618928178,6168.82,4.57,1013.99,0.00,1711.50,,,,3438.76
Boston,Weekly,"2021-01-04 00:00:00",Organic,1.744718951,29356.74,67.84,3467.76,0.00,24877.07,,,,944.07
Buffalo/Rochester,Weekly,"2021-01-04 00:00:00",Organic,1.510175604,11888.39,826.08,133.58,5.57,10923.16,,,,0.00
Charlotte,Weekly,"2021-01-04 00:00:00",Organic,1.407511025,20403.92,98.93,3826.03,19.28,8142.02,,,,8317.67
Chicago,Weekly,"2021-01-04 00:00:00",Organic,1.853303253,41476.10,482.59,2923.76,0.00,17347.53,,,,20722.23
Cincinnati/Dayton,Weekly,"2021-01-04 00:00:00",Organic,1.437804687,14369.56,362.52,2388.78,0.00,2397.97,,,,9220.29
Columbus,Weekly,"2021-01-04 00:00:00",Organic,1.445072838,9147.54,550.43,1002.89,0.00,2443.31,,,,5150.91
"Dallas/Ft. Worth",Weekly,"2021-01-04 00:00:00",Organic,1.369960118,42177.31,4010.78,80.10,240.29,25757.86,,,,12088.29
Denver,Weekly,"2021-01-04 00:00:00",Organic,1.327991174,39697.08,3864.64,905.81,0.00,11222.93,,,,23703.70
Detroit,Weekly,"2021-01-04 00:00:00",Organic,1.178321750,21800.31,270.69,2072.57,0.00,13910.10,,,,5546.95
"Grand Rapids",Weekly,"2021-01-04 00:00:00",Organic,1.309964355,5338.65,51.15,1828.49,0.00,3459.01,,,,0.00
Harrisburg/Scranton,Weekly,"2021-01-04 00:00:00",Organic,1.272433591,18160.05,381.70,419.76,0.00,17353.87,,,,4.72
Hartford/Springfield,Weekly,"2021-01-04 00:00:00",Organic,1.439812404,21923.44,328.06,13193.10,0.00,8379.94,,,,22.34
Houston,Weekly,"2021-01-04 00:00:00",Organic,1.414764151,14296.56,5711.98,12.18,0.00,2649.81,,,,5922.60
Indianapolis,Weekly,"2021-01-04 00:00:00",Organic,1.328730429,7550.65,129.23,775.63,0.00,3666.18,,,,2979.62
Jacksonville,Weekly,"2021-01-04 00:00:00",Organic,1.060717542,11909.16,39.48,270.69,2.11,11563.84,,,,33.04
"Las Vegas",Weekly,"2021-01-04 00:00:00",Organic,1.460813565,14143.53,520.66,314.07,0.00,5871.73,,,,7437.06
"Los Angeles",Weekly,"2021-01-04 00:00:00",Organic,1.476357591,133460.72,6730.32,2941.21,5.60,42370.78,,,,81412.80
Louisville,Weekly,"2021-01-04 00:00:00",Organic,1.426875862,5234.38,18.18,726.92,0.00,1082.40,,,,3406.88
"Miami/Ft. Lauderdale",Weekly,"2021-01-04 00:00:00",Organic,1.047628986,36000.31,155.69,0.00,0.00,34872.42,,,,972.20
Nashville,Weekly,"2021-01-04 00:00:00",Organic,1.331685329,12153.00,42.70,847.21,0.00,6077.79,,,,5185.30
"Northern New England",Weekly,"2021-01-04 00:00:00",Organic,1.804586444,14617.10,48.38,541.84,0.00,12526.54,,,,1500.33
"New Orleans/Mobile",Weekly,"2021-01-04 00:00:00",Organic,1.028219540,10405.54,55.23,0.00,0.00,9859.26,,,,491.06
"New York",Weekly,"2021-01-04 00:00:00",Organic,1.673763812,93505.02,9795.13,9255.51,2.99,67797.17,,,,6654.22
Orlando,Weekly,"2021-01-04 00:00:00",Organic,1.031874725,27442.47,153.41,0.00,0.00,27146.26,,,,142.80
Peoria/Springfield,Weekly,"2021-01-04 00:00:00",Organic,1.546732929,3521.25,24.93,464.05,0.00,1962.48,,,,1069.79
Philadelphia,Weekly,"2021-01-04 00:00:00",Organic,1.624902291,25940.67,1654.30,2412.23,0.00,18827.09,,,,3047.04
Phoenix/Tucson,Weekly,"2021-01-04 00:00:00",Organic,1.138588493,39632.50,2662.66,9723.83,0.00,16348.16,,,,10897.86
Pittsburgh,Weekly,"2021-01-04 00:00:00",Organic,1.399074316,10138.92,1990.97,5.63,0.00,7473.12,,,,669.20
Portland,Weekly,"2021-01-04 00:00:00",Organic,1.398070414,66597.39,2382.85,13354.17,0.00,5470.05,,,,45390.32
Providence,Weekly,"2021-01-04 00:00:00",Organic,1.929333708,3493.99,8.27,5.20,0.00,3471.42,,,,9.10
Raleigh/Greensboro,Weekly,"2021-01-04 00:00:00",Organic,1.341019184,25420.12,739.94,3156.93,55.31,9347.26,,,,12120.68
Richmond/Norfolk,Weekly,"2021-01-04 00:00:00",Organic,0.987195866,31593.50,11.64,1569.69,2.19,23755.94,,,,6254.04
Roanoke,Weekly,"2021-01-04 00:00:00",Organic,1.051833187,12232.56,11.69,1381.97,0.00,7484.18,,,,3354.73
Sacramento,Weekly,"2021-01-04 00:00:00",Organic,1.818709970,21674.06,2353.73,2598.25,0.00,12958.63,,,,3763.45
"San Diego",Weekly,"2021-01-04 00:00:00",Organic,1.398038612,36998.99,995.13,1394.39,1.43,15875.67,,,,18732.37
"San Francisco",Weekly,"2021-01-04 00:00:00",Organic,1.979044900,78335.50,2886.58,5923.46,1.34,47695.33,,,,21828.80
Seattle,Weekly,"2021-01-04 00:00:00",Organic,1.715108486,76140.32,1144.13,14745.92,0.00,14733.02,,,,45517.24
"South Carolina",Weekly,"2021-01-04 00:00:00",Organic,1.306218082,26311.11,960.54,2790.93,73.17,14482.69,,,,8003.78
Spokane,Weekly,"2021-01-04 00:00:00",Organic,1.758214855,4338.74,72.07,874.40,0.00,875.18,,,,2517.09
"St. Louis",Weekly,"2021-01-04 00:00:00",Organic,1.862468434,6086.69,770.76,945.56,0.00,3044.49,,,,1325.88
Syracuse,Weekly,"2021-01-04 00:00:00",Organic,1.587223926,3178.57,233.31,141.56,0.00,2748.87,,,,54.82
Tampa,Weekly,"2021-01-04 00:00:00",Organic,0.913033408,27671.31,118.25,0.00,0.00,27375.61,,,,177.45
Toledo,Weekly,"2021-01-04 00:00:00",Organic,1.395370765,3741.88,76.79,512.18,0.00,1223.21,,,,1929.71
"West Tex/New Mexico",Weekly,"2021-01-04 00:00:00",Organic,1.046033452,31067.69,813.93,620.87,2015.57,21445.20,,,,6172.11
Wichita,Weekly,"2021-01-04 00:00:00",Organic,1.362169698,2548.94,307.41,13.11,0.00,979.13,,,,1249.30
California,Weekly,"2021-01-04 00:00:00",Organic,1.648762384,333216.18,17130.92,19335.72,12.87,149804.87,,,,146931.79
"Great Lakes",Weekly,"2021-01-04 00:00:00",Organic,1.505937576,156469.36,5986.13,17476.31,0.00,70705.31,,,,62301.61
Midsouth,Weekly,"2021-01-04 00:00:00",Organic,1.253645806,250974.17,2342.23,22897.27,121.49,157809.77,,,,67803.41
Northeast,Weekly,"2021-01-04 00:00:00",Organic,1.603831110,255627.24,16936.73,33617.68,20.00,191668.41,,,,13384.42
Plains,Weekly,"2021-01-04 00:00:00",Organic,1.405435215,44473.78,6762.16,2501.92,51.73,30107.74,,,,5050.24
"South Central",Weekly,"2021-01-04 00:00:00",Organic,1.283569109,132420.25,15411.84,1023.95,1514.01,88955.23,,,,25515.21
Southeast,Weekly,"2021-01-04 00:00:00",Organic,1.118705466,224379.03,1910.74,8546.41,86.42,181994.57,,,,31840.88
West,Weekly,"2021-01-04 00:00:00",Organic,1.419538318,371206.39,17654.58,54582.11,1117.42,101103.89,,,,196748.39
"Total U.S.",Weekly,"2021-01-04 00:00:00",Organic,1.424763796,1768766.39,84135.34,159981.37,2923.94,972149.80,,,,549575.96
Albany,Weekly,"2021-01-10 00:00:00",Conventional,1.249703960,139381.50,7066.68,98488.83,31.19,28933.96,,,,4860.84
Atlanta,Weekly,"2021-01-10 00:00:00",Conventional,0.861293640,809439.03,318074.35,39660.41,28.65,182834.27,,,,268841.35
Baltimore/Washington,Weekly,"2021-01-10 00:00:00",Conventional,1.216062692,962713.20,186130.62,286565.86,3214.55,390787.05,,,,96015.12
Birmingham/Montgomery,Weekly,"2021-01-10 00:00:00",Conventional,0.788203932,366703.01,174279.27,9709.83,10.39,108187.59,,,,74515.93
Boise,Weekly,"2021-01-10 00:00:00",Conventional,1.027934500,140710.78,39036.24,12242.59,1237.77,33466.97,,,,54727.21
Boston,Weekly,"2021-01-10 00:00:00",Conventional,1.300577011,680682.33,16845.69,371302.52,103.66,170571.56,,,,121858.91
Buffalo/Rochester,Weekly,"2021-01-10 00:00:00",Conventional,1.020786727,220455.13,22688.46,63209.55,2591.89,127677.98,,,,4287.25
Charlotte,Weekly,"2021-01-10 00:00:00",Conventional,0.948615016,386885.50,151053.95,47099.97,3711.58,152450.25,,,,32569.75
Chicago,Weekly,"2021-01-10 00:00:00",Conventional,1.205289075,891300.39,134157.02,127857.38,44325.49,267653.14,,,,317307.35
Cincinnati/Dayton,Weekly,"2021-01-10 00:00:00",Conventional,0.912506911,331280.49,59355.77,54227.92,3503.96,38841.32,,,,175351.52
Columbus,Weekly,"2021-01-10 00:00:00",Conventional,0.897684370,259333.98,52517.59,38836.60,406.35,51343.63,,,,116229.82
"Dallas/Ft. Worth",Weekly,"2021-01-10 00:00:00",Conventional,0.600230002,1936486.22,589484.81,197950.35,11337.27,723046.67,,,,414667.13
Denver,Weekly,"2021-01-10 00:00:00",Conventional,0.957319607,1148436.73,173734.30,129158.38,2814.86,295163.07,,,,547566.11
Detroit,Weekly,"2021-01-10 00:00:00",Conventional,0.969230556,478801.18,83385.89,61857.28,51341.40,119387.27,,,,162829.34
"Grand Rapids",Weekly,"2021-01-10 00:00:00",Conventional,1.329319354,192930.91,16295.98,48421.12,59197.80,51822.70,,,,17193.30
Harrisburg/Scranton,Weekly,"2021-01-10 00:00:00",Conventional,1.039123450,377406.14,141133.48,106078.08,67.59,119594.76,,,,10532.23
Hartford/Springfield,Weekly,"2021-01-10 00:00:00",Conventional,1.263777344,377565.46,10684.05,268300.59,242.39,91772.24,,,,6566.19
Houston,Weekly,"2021-01-10 00:00:00",Conventional,0.660376098,1335840.56,501337.19,275945.51,3296.64,277476.88,,,,277784.35
Indianapolis,Weekly,"2021-01-10 00:00:00",Conventional,0.854016864,273738.26,54739.52,63830.26,2261.92,66336.45,,,,86570.12
Jacksonville,Weekly,"2021-01-10 00:00:00",Conventional,0.828247270,242656.58,108111.72,8599.67,90.54,72074.71,,,,53779.95
"Las Vegas",Weekly,"2021-01-10 00:00:00",Conventional,0.861553396,427598.29,65727.18,34371.66,60.08,143705.19,,,,183734.18
"Los Angeles",Weekly,"2021-01-10 00:00:00",Conventional,1.165011258,3215531.96,828119.18,63402.95,160634.21,743219.32,,,,1420156.30
Louisville,Weekly,"2021-01-10 00:00:00",Conventional,0.930041325,139853.83,26544.20,16282.03,43.70,39416.50,,,,57567.40
"Miami/Ft. Lauderdale",Weekly,"2021-01-10 00:00:00",Conventional,0.847361797,1036237.02,467979.75,36582.06,107.83,282214.63,,,,249352.75
Nashville,Weekly,"2021-01-10 00:00:00",Conventional,0.834076843,321598.25,107183.09,17945.20,178.00,86650.62,,,,109641.34
"Northern New England",Weekly,"2021-01-10 00:00:00",Conventional,1.125147920,536667.79,13147.45,363105.20,66.84,98526.87,,,,61821.43
"New Orleans/Mobile",Weekly,"2021-01-10 00:00:00",Conventional,0.705855577,370570.86,143785.52,19845.44,55.86,148585.97,,,,58298.06
"New York",Weekly,"2021-01-10 00:00:00",Conventional,1.110213803,2040568.33,62295.79,1214946.86,931.80,687219.50,,,,75174.38
Orlando,Weekly,"2021-01-10 00:00:00",Conventional,0.794400059,630781.74,262206.55,14885.26,130.44,220794.24,,,,132765.25
Peoria/Springfield,Weekly,"2021-01-10 00:00:00",Conventional,0.852060087,140457.31,37439.46,28794.90,388.15,39047.39,,,,34787.42
Philadelphia,Weekly,"2021-01-10 00:00:00",Conventional,0.964727954,701676.33,128393.10,247310.05,207.17,273259.87,,,,52506.15
Phoenix/Tucson,Weekly,"2021-01-10 00:00:00",Conventional,0.715936812,1460379.23,447031.74,178376.87,4180.95,190993.05,,,,639796.62
Pittsburgh,Weekly,"2021-01-10 00:00:00",Conventional,1.125969477,126210.18,30124.18,13941.77,8.98,43389.69,,,,38745.56
Portland,Weekly,"2021-01-10 00:00:00",Conventional,1.017842705,778664.76,127667.59,110054.93,3733.05,96772.73,,,,440436.46
Providence,Weekly,"2021-01-10 00:00:00",Conventional,1.384932353,92706.08,3129.09,53566.82,32.38,18366.74,,,,17611.05
Raleigh/Greensboro,Weekly,"2021-01-10 00:00:00",Conventional,0.905308131,506532.36,202887.77,67624.19,3734.18,192366.15,,,,39920.07
Richmond/Norfolk,Weekly,"2021-01-10 00:00:00",Conventional,0.921268334,352397.86,103659.16,73103.41,698.44,85040.35,,,,89896.50
Roanoke,Weekly,"2021-01-10 00:00:00",Conventional,0.859346954,205756.91,63151.48,28954.66,33.22,47879.41,,,,65738.14
Sacramento,Weekly,"2021-01-10 00:00:00",Conventional,1.106382187,568371.71,146071.62,173963.90,4912.45,106109.88,,,,137313.86
"San Diego",Weekly,"2021-01-10 00:00:00",Conventional,1.241231275,559618.65,103878.40,27271.79,17357.07,111104.44,,,,300006.95
"San Francisco",Weekly,"2021-01-10 00:00:00",Conventional,1.061591760,1047562.69,244664.64,199510.32,7802.06,143598.77,,,,451986.90
Seattle,Weekly,"2021-01-10 00:00:00",Conventional,1.153218624,725636.64,85771.72,108727.35,286.84,85456.98,,,,445393.75
"South Carolina",Weekly,"2021-01-10 00:00:00",Conventional,0.893278313,552924.16,211951.96,46821.83,1143.98,181361.53,,,,111644.86
Spokane,Weekly,"2021-01-10 00:00:00",Conventional,0.931461584,104299.90,19869.44,16253.94,7.09,20069.56,,,,48099.87
"St. Louis",Weekly,"2021-01-10 00:00:00",Conventional,0.830747769,253046.91,111723.35,18134.57,57.53,71078.70,,,,52052.76
Syracuse,Weekly,"2021-01-10 00:00:00",Conventional,1.112929559,98787.39,9413.26,41005.17,850.09,43865.92,,,,3652.95
Tampa,Weekly,"2021-01-10 00:00:00",Conventional,0.812673666,639882.30,247752.83,19448.21,18.40,192958.04,,,,179704.82
Toledo,Weekly,"2021-01-10 00:00:00",Conventional,0.862460099,149684.67,28680.64,29900.58,8276.68,32944.77,,,,49882.00
"West Tex/New Mexico",Weekly,"2021-01-10 00:00:00",Conventional,0.681992418,961438.67,316632.13,100965.45,12955.92,354759.93,,,,176125.23
Wichita,Weekly,"2021-01-10 00:00:00",Conventional,0.718662297,124890.11,31701.23,6107.24,16.11,37785.31,,,,49280.22
California,Weekly,"2021-01-10 00:00:00",Conventional,1.133327226,6913269.84,1779204.54,715265.64,216794.99,1357404.96,,,,2844599.72
"Great Lakes",Weekly,"2021-01-10 00:00:00",Conventional,0.998266563,4285299.61,775484.75,801637.94,252635.14,1051552.97,,,,1403988.81
Midsouth,Weekly,"2021-01-10 00:00:00",Conventional,0.964635326,4291025.26,1345119.15,729713.20,14134.90,1402792.27,,,,799265.75
Northeast,Weekly,"2021-01-10 00:00:00",Conventional,1.127282147,5873961.35,479831.30,3109362.91,7288.23,1848685.03,,,,428793.88
Plains,Weekly,"2021-01-10 00:00:00",Conventional,0.919398298,2216093.34,687114.60,520059.31,1873.60,665250.67,,,,341795.17
"South Central",Weekly,"2021-01-10 00:00:00",Conventional,0.640815095,6931739.60,2673986.48,867329.44,85120.61,2117367.08,,,,1187935.99
Southeast,Weekly,"2021-01-10 00:00:00",Conventional,0.827905425,5770962.85,2422117.02,238332.50,2114.59,1664116.95,,,,1444281.78
West,Weekly,"2021-01-10 00:00:00",Conventional,0.892147703,8023565.90,1786559.95,958666.54,23798.89,1631782.57,,,,3622757.95
"Total U.S.",Weekly,"2021-01-10 00:00:00",Conventional,0.931911803,44305917.75,11949417.78,7940367.48,603760.93,11738952.51,,,,12073419.04
Albany,Weekly,"2021-01-10 00:00:00",Organic,1.456758223,3811.16,54.44,411.40,0.00,3166.28,,,,179.03
Atlanta,Weekly,"2021-01-10 00:00:00",Organic,1.468739357,33873.48,142.18,3068.21,0.00,13740.36,,,,16922.73
Baltimore/Washington,Weekly,"2021-01-10 00:00:00",Organic,1.344200703,75804.14,629.41,3108.48,3.46,69182.66,,,,2880.13
Birmingham/Montgomery,Weekly,"2021-01-10 00:00:00",Organic,1.169759354,11484.59,49.52,172.13,0.00,10498.70,,,,764.25
Boise,Weekly,"2021-01-10 00:00:00",Organic,1.651448679,6069.24,9.70,834.24,0.00,2074.80,,,,3150.51
Boston,Weekly,"2021-01-10 00:00:00",Organic,1.799804097,38765.74,163.50,1900.42,0.00,35391.81,,,,1310.02
Buffalo/Rochester,Weekly,"2021-01-10 00:00:00",Organic,1.525589367,20498.41,1017.84,140.26,5.57,19334.74,,,,0.00
Charlotte,Weekly,"2021-01-10 00:00:00",Organic,1.470396581,20164.52,128.75,3149.94,36.70,9593.10,,,,7256.03
Chicago,Weekly,"2021-01-10 00:00:00",Organic,1.834782497,44403.55,621.78,3154.34,0.00,19128.12,,,,21499.31
Cincinnati/Dayton,Weekly,"2021-01-10 00:00:00",Organic,1.573441561,13240.54,466.84,1843.79,0.00,3133.32,,,,7796.60
Columbus,Weekly,"2021-01-10 00:00:00",Organic,1.585021179,11112.21,664.00,1185.71,0.00,3511.46,,,,5751.04
"Dallas/Ft. Worth",Weekly,"2021-01-10 00:00:00",Organic,1.293462780,62311.56,4683.26,1031.90,9491.15,28779.82,,,,18325.42
Denver,Weekly,"2021-01-10 00:00:00",Organic,1.240458086,52938.57,6257.50,943.56,0.00,13427.40,,,,32310.12
Detroit,Weekly,"2021-01-10 00:00:00",Organic,1.181108141,25547.01,383.40,2099.02,0.00,16291.99,,,,6772.60
"Grand Rapids",Weekly,"2021-01-10 00:00:00",Organic,1.177959381,7974.27,26.71,1363.48,0.00,6584.07,,,,0.00
Harrisburg/Scranton,Weekly,"2021-01-10 00:00:00",Organic,1.222861876,21378.90,262.38,479.16,0.00,20623.19,,,,14.17
Hartford/Springfield,Weekly,"2021-01-10 00:00:00",Organic,1.705725196,24127.58,507.59,6880.49,5.93,16623.44,,,,110.13
Houston,Weekly,"2021-01-10 00:00:00",Organic,1.467454204,16306.53,5624.17,0.00,0.00,3456.99,,,,7225.37
Indianapolis,Weekly,"2021-01-10 00:00:00",Organic,1.345812979,9334.74,161.16,807.57,0.00,4947.90,,,,3418.12
Jacksonville,Weekly,"2021-01-10 00:00:00",Organic,1.131253886,11198.34,67.92,243.30,0.00,10862.05,,,,25.07
"Las Vegas",Weekly,"2021-01-10 00:00:00",Organic,1.515002156,17405.65,798.68,615.90,0.00,6965.18,,,,9025.89
"Los Angeles",Weekly,"2021-01-10 00:00:00",Organic,1.808293861,136464.30,8484.39,2829.72,9.81,44147.12,,,,80993.26
Louisville,Weekly,"2021-01-10 00:00:00",Organic,1.610983849,6084.18,10.23,854.90,0.00,1432.90,,,,3786.14
"Miami/Ft. Lauderdale",Weekly,"2021-01-10 00:00:00",Organic,1.037946298,46953.70,383.28,8.51,0.00,45206.07,,,,1355.84
