group	Bagged	Bulk_GTIN	PLU_4046	PLU_4225	PLU_4770
West	221506231	505812180	249138792	116576636	7471585
California	218469323	385376094	244100828	100433594	24615536
South_Central	243676742	175428569	365831359	95866793	14043814
Northeast	278797472	60033135	113068775	413880953	1679591
Southeast	241547195	207207432	341865665	32788349	1640687
Great_Lakes	144594900	231109910	132576848	97530194	30750357
Midsouth	212983220	115323808	189237642	104578976	2996749
Plains	88646063	51094264	105655216	63984155	591201
