stationid,longitude,latitude,eveningendpct,eveningstartpct,morningendpct,morningstartpct
801,-0.098031,51.505224,0.000454978,0.001471003,0.001363217,0.000257656
802,-0.118256,51.47659,0.000660459,0.000271613,0.000118737,0.000838671
803,-0.098341,51.505409,0.000324647,0.001108352,0.000990903,0.000100915
804,-0.125078,51.534667,0.000858425,0.000906521,0.000670336,0.000497921
805,-0.206338,51.520069,9.2971E-05,5.06724E-05,5.23901E-05,0.000109075
806,-0.124807,51.53724,0.000500927,0.000472585,0.000384123,0.000587886
807,-0.208888,51.5212,0.000591536,0.000349554,0.000181862,0.000587671
808,-0.122555,51.473486,0.000353848,9.5977E-05,5.68991E-05,0.000189377
809,-0.118272,51.516277,0.000276981,0.001214205,0.00113562,0.000109504
810,-0.098807,51.506725,0.000710273,0.001496554,0.001526399,0.000392282
811,-0.027772,51.505703,0.000545587,0.000936366,0.000746559,0.000211708
812,-0.022606,51.548731,0.000144717,0.000233394,0.000107357,4.98136E-05
813,-0.122759,51.487807,0.000469579,0.000308114,0.000253577,0.000215572
814,-0.12367,51.471433,0.000514024,0.000154594,0.000134196,0.000607639
815,-0.116628,51.500089,0.000732173,0.001058753,0.000722297,0.000291581
816,-0.020597,51.546532,2.72686E-05,3.65013E-05,1.54594E-05,2.57656E-06
817,-0.138212,51.481335,0.000444672,0.000475805,0.000368019,0.000525189
818,-0.078655,51.503127,0.00067506,0.000762877,0.000748277,0.000519607
819,-0.114842,51.50621,0.000884405,0.000479455,0.000298022,0.000535496
820,-0.091938,51.492807,0.000327653,0.000113583,2.29744E-05,0.000480314
821,-0.147714,51.483507,0.000279128,0.00025465,0.000139993,0.000186801
826,-0.142943,51.496863,0.000402588,0.00033345,0.000226093,0.000289219
