Product Category,Units,Week Ending,Geography,Type,ASP
Bulk GTIN,1583435.6,4/3/2022,Great Lakes,Conventional,1.300191817
Bagged,1029349.97,4/3/2022,Great Lakes,Conventional,1.300191817
PLU 4046,1063611.91,4/3/2022,Great Lakes,Conventional,1.300191817
PLU 4225,396867.14,3/27/2022,Great Lakes,Conventional,1.453277312
PLU 4770,117185.15,3/27/2022,Great Lakes,Conventional,1.453277312
Bulk GTIN,1309875.52,3/27/2022,Great Lakes,Conventional,1.453277312
Bagged,842310.15,3/27/2022,Great Lakes,Conventional,1.453277312
PLU 4046,939975.29,3/27/2022,Great Lakes,Conventional,1.453277312
PLU 4225,463817.1,4/17/2022,Midsouth,Conventional,1.474938679
PLU 4770,11031.13,4/17/2022,Midsouth,Conventional,1.474938679
Bulk GTIN,677274.23,4/17/2022,Midsouth,Conventional,1.474938679
Bagged,1390413.01,4/17/2022,Midsouth,Conventional,1.474938679
PLU 4046,1219732.65,4/17/2022,Midsouth,Conventional,1.474938679
PLU 4225,467837.7,4/10/2022,Midsouth,Conventional,1.369831766
PLU 4770,13510.92,4/10/2022,Midsouth,Conventional,1.369831766
Bulk GTIN,764892.64,4/10/2022,Midsouth,Conventional,1.369831766
Bagged,1376693.14,4/10/2022,Midsouth,Conventional,1.369831766
PLU 4046,1321267.76,4/10/2022,Midsouth,Conventional,1.369831766
PLU 4225,439083.28,4/3/2022,Midsouth,Conventional,1.378254611
PLU 4770,9305.59,4/3/2022,Midsouth,Conventional,1.378254611
Bulk GTIN,839386.58,4/3/2022,Midsouth,Conventional,1.378254611
Bagged,1393537.89,4/3/2022,Midsouth,Conventional,1.378254611
PLU 4046,1320909.85,4/3/2022,Midsouth,Conventional,1.378254611
PLU 4225,447465.61,3/27/2022,Midsouth,Conventional,1.370550779
PLU 4770,10188.51,3/27/2022,Midsouth,Conventional,1.370550779
Bulk GTIN,710497.97,3/27/2022,Midsouth,Conventional,1.370550779
Bagged,1429228.7,3/27/2022,Midsouth,Conventional,1.370550779
PLU 4046,1302528.93,3/27/2022,Midsouth,Conventional,1.370550779
PLU 4225,1289938.64,4/17/2022,Northeast,Conventional,1.553121106
PLU 4770,3706.09,4/17/2022,Northeast,Conventional,1.553121106
Bulk GTIN,400262.24,4/17/2022,Northeast,Conventional,1.553121106
Bagged,1520938.57,4/17/2022,Northeast,Conventional,1.553121106
PLU 4046,1117858.44,4/17/2022,Northeast,Conventional,1.553121106
PLU 4225,1502469.84,4/10/2022,Northeast,Conventional,1.459877247
PLU 4770,3442.88,4/10/2022,Northeast,Conventional,1.459877247
Bulk GTIN,478261.85,4/10/2022,Northeast,Conventional,1.459877247
Bagged,1479166.33,4/10/2022,Northeast,Conventional,1.459877247
PLU 4046,1352278.55,4/10/2022,Northeast,Conventional,1.459877247
PLU 4225,1919238.46,4/3/2022,Northeast,Conventional,1.573017184
PLU 4770,5738.74,4/3/2022,Northeast,Conventional,1.573017184
Bulk GTIN,392032.21,4/3/2022,Northeast,Conventional,1.573017184
Bagged,1498076.26,4/3/2022,Northeast,Conventional,1.573017184
PLU 4046,1106358.11,4/3/2022,Northeast,Conventional,1.573017184
PLU 4225,1903803.4,3/27/2022,Northeast,Conventional,1.570967639
PLU 4770,8677.75,3/27/2022,Northeast,Conventional,1.570967639
Bulk GTIN,407750.26,3/27/2022,Northeast,Conventional,1.570967639
Bagged,1493796.51,3/27/2022,Northeast,Conventional,1.570967639
PLU 4046,1820758.48,3/27/2022,Northeast,Conventional,1.570967639
PLU 4225,289379.42,4/17/2022,Plains,Conventional,1.477461197
PLU 4770,1346.58,4/17/2022,Plains,Conventional,1.477461197
Bulk GTIN,337383.86,4/17/2022,Plains,Conventional,1.477461197
Bagged,636856.2,4/17/2022,Plains,Conventional,1.477461197
PLU 4046,561154.62,4/17/2022,Plains,Conventional,1.477461197
PLU 4225,276054.31,4/10/2022,Plains,Conventional,1.409838402
PLU 4770,2184.41,4/10/2022,Plains,Conventional,1.409838402
Bulk GTIN,349324.33,4/10/2022,Plains,Conventional,1.409838402
Bagged,650124.77,4/10/2022,Plains,Conventional,1.409838402
PLU 4046,624345.17,4/10/2022,Plains,Conventional,1.409838402
PLU 4225,279059.77,4/3/2022,Plains,Conventional,1.409476258
PLU 4770,1596.14,4/3/2022,Plains,Conventional,1.409476258
Bulk GTIN,370050.59,4/3/2022,Plains,Conventional,1.409476258
Bagged,593946.71,4/3/2022,Plains,Conventional,1.409476258
PLU 4046,626452.08,4/3/2022,Plains,Conventional,1.409476258
PLU 4225,274474.47,3/27/2022,Plains,Conventional,1.418774313
PLU 4770,1261.86,3/27/2022,Plains,Conventional,1.418774313
Bulk GTIN,356220.01,3/27/2022,Plains,Conventional,1.418774313
Bagged,578747.76,3/27/2022,Plains,Conventional,1.418774313
PLU 4046,591516.6,3/27/2022,Plains,Conventional,1.418774313
PLU 4225,404106.84,4/17/2022,South Central,Conventional,1.203002669
PLU 4770,24560.53,4/17/2022,South Central,Conventional,1.203002669
Bulk GTIN,1069483.05,4/17/2022,South Central,Conventional,1.203002669
Bagged,1752800.71,4/17/2022,South Central,Conventional,1.203002669
PLU 4046,1594815.32,4/17/2022,South Central,Conventional,1.203002669
PLU 4225,388175.9,4/10/2022,South Central,Conventional,1.11875461
PLU 4770,28022.32,4/10/2022,South Central,Conventional,1.11875461
Bulk GTIN,1045403.63,4/10/2022,South Central,Conventional,1.11875461
Bagged,2031299.42,4/10/2022,South Central,Conventional,1.11875461
PLU 4046,1833588.67,4/10/2022,South Central,Conventional,1.11875461
PLU 4225,390505.03,4/3/2022,South Central,Conventional,1.169446582
PLU 4770,27160.33,4/3/2022,South Central,Conventional,1.169446582
Bulk GTIN,1115545.46,4/3/2022,South Central,Conventional,1.169446582
Bagged,1528544.93,4/3/2022,South Central,Conventional,1.169446582
PLU 4046,1922693.96,4/3/2022,South Central,Conventional,1.169446582
PLU 4225,386721.2,3/27/2022,South Central,Conventional,1.152080589
PLU 4770,26378.76,3/27/2022,South Central,Conventional,1.152080589
Bulk GTIN,1123728.5,3/27/2022,South Central,Conventional,1.152080589
Bagged,1661700.24,3/27/2022,South Central,Conventional,1.152080589
PLU 4046,1716872.46,3/27/2022,South Central,Conventional,1.152080589
PLU 4225,150004.01,4/17/2022,Southeast,Conventional,1.459607791
PLU 4770,1978.36,4/17/2022,Southeast,Conventional,1.459607791
Bulk GTIN,1250289.41,4/17/2022,Southeast,Conventional,1.459607791
Bagged,1155965.69,4/17/2022,Southeast,Conventional,1.459607791
PLU 4046,1949041.77,4/17/2022,Southeast,Conventional,1.459607791
PLU 4225,148919.98,4/10/2022,Southeast,Conventional,1.419013662
PLU 4770,2265.3,4/10/2022,Southeast,Conventional,1.419013662
Bulk GTIN,1267960.04,4/10/2022,Southeast,Conventional,1.419013662
Bagged,1166421.35,4/10/2022,Southeast,Conventional,1.419013662
PLU 4046,2021211.12,4/10/2022,Southeast,Conventional,1.419013662
PLU 4225,144054.96,4/3/2022,Southeast,Conventional,1.385820856
PLU 4770,1712.35,4/3/2022,Southeast,Conventional,1.385820856
Bulk GTIN,1331949.77,4/3/2022,Southeast,Conventional,1.385820856
Bagged,1112757.81,4/3/2022,Southeast,Conventional,1.385820856
PLU 4046,2042619.79,4/3/2022,Southeast,Conventional,1.385820856
PLU 4225,150079.28,3/27/2022,Southeast,Conventional,1.39131496
PLU 4770,1796.13,3/27/2022,Southeast,Conventional,1.39131496
Bulk GTIN,1231679.61,3/27/2022,Southeast,Conventional,1.39131496
Bagged,1106653.77,3/27/2022,Southeast,Conventional,1.39131496
PLU 4046,2019360.54,3/27/2022,Southeast,Conventional,1.39131496
PLU 4225,439863.4,4/17/2022,West,Conventional,1.454468635
PLU 4770,21449.59,4/17/2022,West,Conventional,1.454468635
Bulk GTIN,2702948,4/17/2022,West,Conventional,1.454468635
Bagged,1763649.05,4/17/2022,West,Conventional,1.454468635
PLU 4046,1377859.38,4/17/2022,West,Conventional,1.454468635
PLU 4225,520394.15,4/10/2022,West,Conventional,1.328755118
PLU 4770,28585.03,4/10/2022,West,Conventional,1.328755118
Bulk GTIN,2969155.23,4/10/2022,West,Conventional,1.328755118
Bagged,1808029.91,4/10/2022,West,Conventional,1.328755118
PLU 4046,1505884.36,4/10/2022,West,Conventional,1.328755118
PLU 4225,545398.13,4/3/2022,West,Conventional,1.353277698
PLU 4770,31737.9,4/3/2022,West,Conventional,1.353277698
Bulk GTIN,3184011.49,4/3/2022,West,Conventional,1.353277698
Bagged,1404903.55,4/3/2022,West,Conventional,1.353277698
PLU 4046,1494681.77,4/3/2022,West,Conventional,1.353277698
PLU 4225,490723.57,3/27/2022,West,Conventional,1.413915264
PLU 4770,40906.86,3/27/2022,West,Conventional,1.413915264
Bulk GTIN,2950237.76,3/27/2022,West,Conventional,1.413915264
Bagged,1418642.57,3/27/2022,West,Conventional,1.413915264
PLU 4046,1485738.98,3/27/2022,West,Conventional,1.413915264
PLU 4225,21586.08,4/17/2022,California,Organic,2.129497742
PLU 4770,0,4/17/2022,California,Organic,2.129497742
Bulk GTIN,129191.72,4/17/2022,California,Organic,2.129497742
Bagged,121987.87,4/17/2022,California,Organic,2.129497742
PLU 4046,18039.13,4/17/2022,California,Organic,2.129497742
PLU 4225,25321.26,4/10/2022,California,Organic,2.10010421
PLU 4770,0,4/10/2022,California,Organic,2.10010421
Bulk GTIN,121712.46,4/10/2022,California,Organic,2.10010421
Bagged,135595.88,4/10/2022,California,Organic,2.10010421
PLU 4046,18709.45,4/10/2022,California,Organic,2.10010421
PLU 4225,23003.99,4/3/2022,California,Organic,2.027243204
PLU 4770,0,4/3/2022,California,Organic,2.027243204
Bulk GTIN,124403.13,4/3/2022,California,Organic,2.027243204
Bagged,160409.62,4/3/2022,California,Organic,2.027243204
PLU 4046,16644.45,4/3/2022,California,Organic,2.027243204
PLU 4225,19049.93,3/27/2022,California,Organic,1.955988705
PLU 4770,0,3/27/2022,California,Organic,1.955988705
Bulk GTIN,118659.95,3/27/2022,California,Organic,1.955988705
Bagged,151172.47,3/27/2022,California,Organic,1.955988705
PLU 4046,17300.55,3/27/2022,California,Organic,1.955988705
PLU 4225,11992.52,4/17/2022,Great Lakes,Organic,1.91389009
PLU 4770,0,4/17/2022,Great Lakes,Organic,1.91389009
Bulk GTIN,53804.58,4/17/2022,Great Lakes,Organic,1.91389009
Bagged,93650.51,4/17/2022,Great Lakes,Organic,1.91389009
PLU 4046,3688.63,4/17/2022,Great Lakes,Organic,1.91389009
PLU 4225,12652.39,4/10/2022,Great Lakes,Organic,1.816636028
PLU 4770,0,4/10/2022,Great Lakes,Organic,1.816636028
Bulk GTIN,55855.01,4/10/2022,Great Lakes,Organic,1.816636028
Bagged,96755.73,4/10/2022,Great Lakes,Organic,1.816636028
PLU 4046,2902.85,4/10/2022,Great Lakes,Organic,1.816636028
PLU 4225,13982.52,4/3/2022,Great Lakes,Organic,1.860048146
PLU 4770,0,4/3/2022,Great Lakes,Organic,1.860048146
Bulk GTIN,55187.49,4/3/2022,Great Lakes,Organic,1.860048146
Bagged,96657.96,4/3/2022,Great Lakes,Organic,1.860048146
PLU 4046,2911.18,4/3/2022,Great Lakes,Organic,1.860048146
PLU 4225,12920.56,3/27/2022,Great Lakes,Organic,1.925702902
PLU 4770,0,3/27/2022,Great Lakes,Organic,1.925702902
Bulk GTIN,53566.61,3/27/2022,Great Lakes,Organic,1.925702902
Bagged,91546.66,3/27/2022,Great Lakes,Organic,1.925702902
PLU 4046,2719.42,3/27/2022,Great Lakes,Organic,1.925702902
PLU 4225,19414.46,4/17/2022,Midsouth,Organic,1.824725731
PLU 4770,163.01,4/17/2022,Midsouth,Organic,1.824725731
Bulk GTIN,32133.74,4/17/2022,Midsouth,Organic,1.824725731
Bagged,168281.54,4/17/2022,Midsouth,Organic,1.824725731
PLU 4046,2741.95,4/17/2022,Midsouth,Organic,1.824725731
PLU 4225,18416.64,4/10/2022,Midsouth,Organic,1.769080904
PLU 4770,218.06,4/10/2022,Midsouth,Organic,1.769080904
Bulk GTIN,34981.68,4/10/2022,Midsouth,Organic,1.769080904
Bagged,185590.01,4/10/2022,Midsouth,Organic,1.769080904
PLU 4046,2710.51,4/10/2022,Midsouth,Organic,1.769080904
PLU 4225,17592.47,4/3/2022,Midsouth,Organic,1.7598973
PLU 4770,157.03,4/3/2022,Midsouth,Organic,1.7598973
Bulk GTIN,32760.75,4/3/2022,Midsouth,Organic,1.7598973
Bagged,191592.43,4/3/2022,Midsouth,Organic,1.7598973
PLU 4046,3004.06,4/3/2022,Midsouth,Organic,1.7598973
PLU 4225,16734.57,3/27/2022,Midsouth,Organic,1.836973654
PLU 4770,132.99,3/27/2022,Midsouth,Organic,1.836973654
Bulk GTIN,31667.33,3/27/2022,Midsouth,Organic,1.836973654
Bagged,172087.69,3/27/2022,Midsouth,Organic,1.836973654
PLU 4046,2777.66,3/27/2022,Midsouth,Organic,1.836973654
PLU 4225,9614.04,4/17/2022,Northeast,Organic,1.892091647
PLU 4770,29.5,4/17/2022,Northeast,Organic,1.892091647
Bulk GTIN,15362.63,4/17/2022,Northeast,Organic,1.892091647
Bagged,226491.9,4/17/2022,Northeast,Organic,1.892091647
PLU 4046,14610.97,4/17/2022,Northeast,Organic,1.892091647
PLU 4225,9514.24,4/10/2022,Northeast,Organic,1.918193823
PLU 4770,11.59,4/10/2022,Northeast,Organic,1.918193823
Bulk GTIN,16947.44,4/10/2022,Northeast,Organic,1.918193823
Bagged,227520.31,4/10/2022,Northeast,Organic,1.918193823
PLU 4046,14510.56,4/10/2022,Northeast,Organic,1.918193823
PLU 4225,10958.95,4/3/2022,Northeast,Organic,1.8997633
PLU 4770,5.15,4/3/2022,Northeast,Organic,1.8997633
Bulk GTIN,13434.31,4/3/2022,Northeast,Organic,1.8997633
Bagged,231860.68,4/3/2022,Northeast,Organic,1.8997633
PLU 4046,14717.33,4/3/2022,Northeast,Organic,1.8997633
PLU 4225,10378.68,3/27/2022,Northeast,Organic,1.880937617
PLU 4770,5.22,3/27/2022,Northeast,Organic,1.880937617
Bulk GTIN,13897.44,3/27/2022,Northeast,Organic,1.880937617
Bagged,224167.94,3/27/2022,Northeast,Organic,1.880937617
PLU 4046,13763.37,3/27/2022,Northeast,Organic,1.880937617
PLU 4225,1809.41,4/17/2022,Plains,Organic,1.773280962
PLU 4770,1.82,4/17/2022,Plains,Organic,1.773280962
Bulk GTIN,5819.48,4/17/2022,Plains,Organic,1.773280962
Bagged,41960.31,4/17/2022,Plains,Organic,1.773280962
PLU 4046,6071.45,4/17/2022,Plains,Organic,1.773280962
PLU 4225,2111.72,4/10/2022,Plains,Organic,1.732845402
PLU 4770,0,4/10/2022,Plains,Organic,1.732845402
Bulk GTIN,5773.54,4/10/2022,Plains,Organic,1.732845402
Bagged,40563.78,4/10/2022,Plains,Organic,1.732845402
PLU 4046,5022.39,4/10/2022,Plains,Organic,1.732845402
PLU 4225,2060.46,4/3/2022,Plains,Organic,1.736575849
PLU 4770,0,4/3/2022,Plains,Organic,1.736575849
Bulk GTIN,5762.54,4/3/2022,Plains,Organic,1.736575849
Bagged,39965.37,4/3/2022,Plains,Organic,1.736575849
PLU 4046,4623.91,4/3/2022,Plains,Organic,1.736575849
PLU 4225,2100.89,3/27/2022,Plains,Organic,1.732416428
PLU 4770,0,3/27/2022,Plains,Organic,1.732416428
Bulk GTIN,5624.89,3/27/2022,Plains,Organic,1.732416428
Bagged,37199.76,3/27/2022,Plains,Organic,1.732416428
PLU 4046,3873.14,3/27/2022,Plains,Organic,1.732416428
PLU 4225,3703.23,4/17/2022,South Central,Organic,1.61722983
PLU 4770,0,4/17/2022,South Central,Organic,1.61722983
Bulk GTIN,21565.61,4/17/2022,South Central,Organic,1.61722983
Bagged,127430.97,4/17/2022,South Central,Organic,1.61722983
PLU 4046,33203.93,4/17/2022,South Central,Organic,1.61722983
PLU 4225,3456.98,4/10/2022,South Central,Organic,1.607607307
PLU 4770,0,4/10/2022,South Central,Organic,1.607607307
Bulk GTIN,23517.25,4/10/2022,South Central,Organic,1.607607307
Bagged,119978.51,4/10/2022,South Central,Organic,1.607607307
PLU 4046,23311.37,4/10/2022,South Central,Organic,1.607607307
PLU 4225,2169.9,4/3/2022,South Central,Organic,1.555426483
PLU 4770,0,4/3/2022,South Central,Organic,1.555426483
Bulk GTIN,26159.03,4/3/2022,South Central,Organic,1.555426483
Bagged,127160.27,4/3/2022,South Central,Organic,1.555426483
PLU 4046,13392.2,4/3/2022,South Central,Organic,1.555426483
PLU 4225,2966.82,3/27/2022,South Central,Organic,1.558759048
PLU 4770,0,3/27/2022,South Central,Organic,1.558759048
Bulk GTIN,25213.82,3/27/2022,South Central,Organic,1.558759048
Bagged,119562.44,3/27/2022,South Central,Organic,1.558759048
PLU 4046,13335.94,3/27/2022,South Central,Organic,1.558759048
PLU 4225,7452.08,4/17/2022,Southeast,Organic,1.30490056
PLU 4770,212.75,4/17/2022,Southeast,Organic,1.30490056
Bulk GTIN,87378.13,4/17/2022,Southeast,Organic,1.30490056
Bagged,490601.34,4/17/2022,Southeast,Organic,1.30490056
PLU 4046,2296.38,4/17/2022,Southeast,Organic,1.30490056
PLU 4225,8198.39,4/10/2022,Southeast,Organic,1.283786643
PLU 4770,77.01,4/10/2022,Southeast,Organic,1.283786643
Bulk GTIN,92775.24,4/10/2022,Southeast,Organic,1.283786643
Bagged,519172.12,4/10/2022,Southeast,Organic,1.283786643
PLU 4046,2479.25,4/10/2022,Southeast,Organic,1.283786643
PLU 4225,8359.68,4/3/2022,Southeast,Organic,1.257528693
PLU 4770,144.59,4/3/2022,Southeast,Organic,1.257528693
Bulk GTIN,87421.75,4/3/2022,Southeast,Organic,1.257528693
Bagged,551986.99,4/3/2022,Southeast,Organic,1.257528693
PLU 4046,2399.84,4/3/2022,Southeast,Organic,1.257528693
PLU 4225,7003.49,3/27/2022,Southeast,Organic,1.270234754
PLU 4770,170.36,3/27/2022,Southeast,Organic,1.270234754
Bulk GTIN,84562.06,3/27/2022,Southeast,Organic,1.270234754
Bagged,525465.6,3/27/2022,Southeast,Organic,1.270234754
PLU 4046,2583.53,3/27/2022,Southeast,Organic,1.270234754
PLU 4225,17734.24,4/17/2022,West,Organic,2.228046508
PLU 4770,5.79,4/17/2022,West,Organic,2.228046508
Bulk GTIN,168614.08,4/17/2022,West,Organic,2.228046508
Bagged,96500.73,4/17/2022,West,Organic,2.228046508
PLU 4046,18242.18,4/17/2022,West,Organic,2.228046508
PLU 4225,27770.9,4/10/2022,West,Organic,2.126220915
PLU 4770,9.27,4/10/2022,West,Organic,2.126220915
Bulk GTIN,173754.09,4/10/2022,West,Organic,2.126220915
Bagged,92804.56,4/10/2022,West,Organic,2.126220915
PLU 4046,14792.69,4/10/2022,West,Organic,2.126220915
PLU 4225,29218.96,4/3/2022,West,Organic,2.068075205
PLU 4770,0,4/3/2022,West,Organic,2.068075205
Bulk GTIN,159140.18,4/3/2022,West,Organic,2.068075205
Bagged,95648.56,4/3/2022,West,Organic,2.068075205
PLU 4046,16031.53,4/3/2022,West,Organic,2.068075205
PLU 4225,19138.13,3/27/2022,West,Organic,2.132444416
PLU 4770,0,3/27/2022,West,Organic,2.132444416
Bulk GTIN,154333.89,3/27/2022,West,Organic,2.132444416
Bagged,89663.57,3/27/2022,West,Organic,2.132444416
PLU 4046,16833.47,3/27/2022,West,Organic,2.132444416
PLU 4225,325449.13,5/15/2022,California,Conventional,1.616158065
PLU 4770,135746.36,5/15/2022,California,Conventional,1.616158065
Bulk GTIN,2552770.59,5/15/2022,California,Conventional,1.616158065
Bagged,1190612.23,5/15/2022,California,Conventional,1.616158065
PLU 4046,1493171,5/15/2022,California,Conventional,1.616158065
PLU 4225,457788.68,5/8/2022,California,Conventional,1.52134583
PLU 4770,179046.91,5/8/2022,California,Conventional,1.52134583
Bulk GTIN,2235721.09,5/8/2022,California,Conventional,1.52134583
Bagged,1534797.71,5/8/2022,California,Conventional,1.52134583
PLU 4046,1616257.81,5/8/2022,California,Conventional,1.52134583
PLU 4225,511650.52,5/1/2022,California,Conventional,1.424327381
PLU 4770,140313.67,5/1/2022,California,Conventional,1.424327381
Bulk GTIN,2719529.57,5/1/2022,California,Conventional,1.424327381
Bagged,2319308.28,5/1/2022,California,Conventional,1.424327381
PLU 4046,1359845.96,5/1/2022,California,Conventional,1.424327381
PLU 4225,373480.93,4/24/2022,California,Conventional,1.507531386
PLU 4770,92026.55,4/24/2022,California,Conventional,1.507531386
Bulk GTIN,2262577.13,4/24/2022,California,Conventional,1.507531386
Bagged,1391433.97,4/24/2022,California,Conventional,1.507531386
PLU 4046,1406821.26,4/24/2022,California,Conventional,1.507531386
PLU 4225,396003.44,5/15/2022,Great Lakes,Conventional,1.557275969
PLU 4770,70845.55,5/15/2022,Great Lakes,Conventional,1.557275969
Bulk GTIN,1223627.22,5/15/2022,Great Lakes,Conventional,1.557275969
Bagged,812292.66,5/15/2022,Great Lakes,Conventional,1.557275969
PLU 4046,895121.83,5/15/2022,Great Lakes,Conventional,1.557275969
PLU 4225,407791.24,5/8/2022,Great Lakes,Conventional,1.309870712
PLU 4770,69013.18,5/8/2022,Great Lakes,Conventional,1.309870712
Bulk GTIN,1729025.16,5/8/2022,Great Lakes,Conventional,1.309870712
Bagged,919393.21,5/8/2022,Great Lakes,Conventional,1.309870712
PLU 4046,1543720.91,5/8/2022,Great Lakes,Conventional,1.309870712
PLU 4225,398442.77,5/1/2022,Great Lakes,Conventional,1.317115889
PLU 4770,49120.19,5/1/2022,Great Lakes,Conventional,1.317115889
Bulk GTIN,1673276.44,5/1/2022,Great Lakes,Conventional,1.317115889
Bagged,1187918.41,5/1/2022,Great Lakes,Conventional,1.317115889
PLU 4046,1154995.29,5/1/2022,Great Lakes,Conventional,1.317115889
PLU 4225,333760.98,4/24/2022,Great Lakes,Conventional,1.448218508
PLU 4770,44519.41,4/24/2022,Great Lakes,Conventional,1.448218508
Bulk GTIN,1253858.75,4/24/2022,Great Lakes,Conventional,1.448218508
Bagged,868256.92,4/24/2022,Great Lakes,Conventional,1.448218508
PLU 4046,1029397.77,4/24/2022,Great Lakes,Conventional,1.448218508
PLU 4225,431880.81,5/15/2022,Midsouth,Conventional,1.514582961
PLU 4770,20699.54,5/15/2022,Midsouth,Conventional,1.514582961
Bulk GTIN,585790.73,5/15/2022,Midsouth,Conventional,1.514582961
Bagged,1219617.93,5/15/2022,Midsouth,Conventional,1.514582961
PLU 4046,1284912.72,5/15/2022,Midsouth,Conventional,1.514582961
PLU 4225,501711.1,5/8/2022,Midsouth,Conventional,1.411750148
PLU 4770,23112.35,5/8/2022,Midsouth,Conventional,1.411750148
Bulk GTIN,794826.56,5/8/2022,Midsouth,Conventional,1.411750148
Bagged,1277147.1,5/8/2022,Midsouth,Conventional,1.411750148
PLU 4046,1617482.18,5/8/2022,Midsouth,Conventional,1.411750148
PLU 4225,482061.55,5/1/2022,Midsouth,Conventional,1.36027356
PLU 4770,9070.56,5/1/2022,Midsouth,Conventional,1.36027356
Bulk GTIN,816378.88,5/1/2022,Midsouth,Conventional,1.36027356
Bagged,1389925.32,5/1/2022,Midsouth,Conventional,1.36027356
PLU 4046,1518526.31,5/1/2022,Midsouth,Conventional,1.36027356
PLU 4225,475794.06,4/24/2022,Midsouth,Conventional,1.503954305
PLU 4770,11559.03,4/24/2022,Midsouth,Conventional,1.503954305
Bulk GTIN,600037.41,4/24/2022,Midsouth,Conventional,1.503954305
Bagged,1297671.33,4/24/2022,Midsouth,Conventional,1.503954305
PLU 4046,1176120.35,4/24/2022,Midsouth,Conventional,1.503954305
PLU 4225,1637756.28,5/15/2022,Northeast,Conventional,1.644873485
PLU 4770,36788.95,5/15/2022,Northeast,Conventional,1.644873485
Bulk GTIN,323650.74,5/15/2022,Northeast,Conventional,1.644873485
Bagged,1520236.73,5/15/2022,Northeast,Conventional,1.644873485
PLU 4046,1150382.66,5/15/2022,Northeast,Conventional,1.644873485
PLU 4225,1817107.87,5/8/2022,Northeast,Conventional,1.616569572
PLU 4770,32602.4,5/8/2022,Northeast,Conventional,1.616569572
Bulk GTIN,541056.98,5/8/2022,Northeast,Conventional,1.616569572
Bagged,1847528.43,5/8/2022,Northeast,Conventional,1.616569572
PLU 4046,1345747.41,5/8/2022,Northeast,Conventional,1.616569572
PLU 4225,2564877.83,5/1/2022,Northeast,Conventional,1.476641658
PLU 4770,3602.38,5/1/2022,Northeast,Conventional,1.476641658
Bulk GTIN,465128.29,5/1/2022,Northeast,Conventional,1.476641658
Bagged,1549822.36,5/1/2022,Northeast,Conventional,1.476641658
PLU 4046,1284644.32,5/1/2022,Northeast,Conventional,1.476641658
PLU 4225,1796308.27,4/24/2022,Northeast,Conventional,1.544431617
PLU 4770,2535.51,4/24/2022,Northeast,Conventional,1.544431617
Bulk GTIN,362235.18,4/24/2022,Northeast,Conventional,1.544431617
Bagged,1501161.08,4/24/2022,Northeast,Conventional,1.544431617
PLU 4046,1220352.51,4/24/2022,Northeast,Conventional,1.544431617
PLU 4225,252476.39,5/15/2022,Plains,Conventional,1.541429251
PLU 4770,34757.31,5/15/2022,Plains,Conventional,1.541429251
Bulk GTIN,334240.19,5/15/2022,Plains,Conventional,1.541429251
Bagged,427045.72,5/15/2022,Plains,Conventional,1.541429251
PLU 4046,511682.44,5/15/2022,Plains,Conventional,1.541429251
PLU 4225,321691.55,5/8/2022,Plains,Conventional,1.472751849
PLU 4770,38605.41,5/8/2022,Plains,Conventional,1.472751849
Bulk GTIN,416276.32,5/8/2022,Plains,Conventional,1.472751849
Bagged,513477.2,5/8/2022,Plains,Conventional,1.472751849
PLU 4046,603160.66,5/8/2022,Plains,Conventional,1.472751849
PLU 4225,263534.75,5/1/2022,Plains,Conventional,1.505870693
PLU 4770,1099.78,5/1/2022,Plains,Conventional,1.505870693
Bulk GTIN,379588.11,5/1/2022,Plains,Conventional,1.505870693
Bagged,539223.9,5/1/2022,Plains,Conventional,1.505870693
PLU 4046,624602.09,5/1/2022,Plains,Conventional,1.505870693
PLU 4225,243807.3,4/24/2022,Plains,Conventional,1.48606744
PLU 4770,1564.12,4/24/2022,Plains,Conventional,1.48606744
Bulk GTIN,314546.7,4/24/2022,Plains,Conventional,1.48606744
Bagged,506944.57,4/24/2022,Plains,Conventional,1.48606744
PLU 4046,542712.51,4/24/2022,Plains,Conventional,1.48606744
PLU 4225,339122,5/15/2022,South Central,Conventional,1.269882685
PLU 4770,55369.28,5/15/2022,South Central,Conventional,1.269882685
Bulk GTIN,963361.75,5/15/2022,South Central,Conventional,1.269882685
Bagged,1109500.22,5/15/2022,South Central,Conventional,1.269882685
PLU 4046,1683079.69,5/15/2022,South Central,Conventional,1.269882685
PLU 4225,382986.66,5/8/2022,South Central,Conventional,1.191777211
PLU 4770,59237.26,5/8/2022,South Central,Conventional,1.191777211
Bulk GTIN,1198836.95,5/8/2022,South Central,Conventional,1.191777211
Bagged,1371813.99,5/8/2022,South Central,Conventional,1.191777211
PLU 4046,1888114.29,5/8/2022,South Central,Conventional,1.191777211
PLU 4225,436519.03,5/1/2022,South Central,Conventional,1.219013671
PLU 4770,28782.59,5/1/2022,South Central,Conventional,1.219013671
Bulk GTIN,1165303.52,5/1/2022,South Central,Conventional,1.219013671
Bagged,1500841.76,5/1/2022,South Central,Conventional,1.219013671
PLU 4046,1724743.53,5/1/2022,South Central,Conventional,1.219013671
PLU 4225,456306.85,4/24/2022,South Central,Conventional,1.258087211
PLU 4770,23445.02,4/24/2022,South Central,Conventional,1.258087211
Bulk GTIN,985453.4,4/24/2022,South Central,Conventional,1.258087211
Bagged,1456557.49,4/24/2022,South Central,Conventional,1.258087211
PLU 4046,1444668.29,4/24/2022,South Central,Conventional,1.258087211
