County,State,State Abbr,Population
Hays County,Texas,TX,"204,546"
Hemphill County,Texas,TX,"4,101"
Henderson County,Texas,TX,"80,062"
Hidalgo County,Texas,TX,"848,960"
Hill County,Texas,TX,"35,102"
Hockley County,Texas,TX,"23,043"
Hood County,Texas,TX,"56,569"
Hopkins County,Texas,TX,"36,184"
Houston County,Texas,TX,"22,897"
Howard County,Texas,TX,"36,214"
Hudspeth County,Texas,TX,"4,254"
Hunt County,Texas,TX,"91,895"
Hutchinson County,Texas,TX,"21,528"
Irion County,Texas,TX,"1,562"
Jack County,Texas,TX,"8,789"
Jackson County,Texas,TX,"14,873"
Jasper County,Texas,TX,"35,417"
Jeff Davis County,Texas,TX,"2,231"
Jefferson County,Texas,TX,"255,748"
Jim Hogg County,Texas,TX,"5,257"
Jim Wells County,Texas,TX,"41,181"
Johnson County,Texas,TX,"162,763"
Jones County,Texas,TX,"19,971"
Karnes County,Texas,TX,"15,494"
Kaufman County,Texas,TX,"117,904"
Kendall County,Texas,TX,"41,903"
Kenedy County,Texas,TX,436
Kent County,Texas,TX,748
Kerr County,Texas,TX,"51,426"
Kimble County,Texas,TX,"4,413"
King County,Texas,TX,292
Kinney County,Texas,TX,"3,636"
Kleberg County,Texas,TX,"31,304"
Knox County,Texas,TX,"3,732"
Lamar County,Texas,TX,"49,528"
Lamb County,Texas,TX,"13,195"
Lampasas County,Texas,TX,"20,524"
La Salle County,Texas,TX,"7,596"
Lavaca County,Texas,TX,"19,891"
Lee County,Texas,TX,"16,975"
Leon County,Texas,TX,"17,200"
Liberty County,Texas,TX,"81,354"
Limestone County,Texas,TX,"23,472"
Lipscomb County,Texas,TX,"3,494"
Live Oak County,Texas,TX,"12,023"
Llano County,Texas,TX,"20,592"
Loving County,Texas,TX,117
Lubbock County,Texas,TX,"302,094"
Lynn County,Texas,TX,"5,775"
McCulloch County,Texas,TX,"8,124"
McLennan County,Texas,TX,"247,553"
McMullen County,Texas,TX,806
Madison County,Texas,TX,"14,120"
Marion County,Texas,TX,"10,125"
Martin County,Texas,TX,"5,616"
Mason County,Texas,TX,"4,161"
Matagorda County,Texas,TX,"37,088"
Maverick County,Texas,TX,"58,041"
Medina County,Texas,TX,"49,254"
Menard County,Texas,TX,"2,091"
Midland County,Texas,TX,"163,850"
Milam County,Texas,TX,"24,680"
Mills County,Texas,TX,"4,884"
Mitchell County,Texas,TX,"8,474"
Montague County,Texas,TX,"19,390"
Montgomery County,Texas,TX,"555,216"
Moore County,Texas,TX,"21,641"
Morris County,Texas,TX,"12,429"
Motley County,Texas,TX,"1,170"
Nacogdoches County,Texas,TX,"65,549"
Navarro County,Texas,TX,"48,405"
Newton County,Texas,TX,"14,160"
Nolan County,Texas,TX,"15,044"
Nueces County,Texas,TX,"361,642"
Ochiltree County,Texas,TX,"10,257"
Oldham County,Texas,TX,"2,074"
Orange County,Texas,TX,"84,549"
Palo Pinto County,Texas,TX,"28,125"
Panola County,Texas,TX,"23,419"
Parker County,Texas,TX,"128,967"
Parmer County,Texas,TX,"9,762"
Pecos County,Texas,TX,"15,881"
Polk County,Texas,TX,"47,656"
Potter County,Texas,TX,"120,632"
Presidio County,Texas,TX,"7,156"
Rains County,Texas,TX,"11,304"
Randall County,Texas,TX,"132,342"
Reagan County,Texas,TX,"3,726"
Real County,Texas,TX,"3,399"
Red River County,Texas,TX,"12,179"
Reeves County,Texas,TX,"15,229"
Refugio County,Texas,TX,"7,272"
Roberts County,Texas,TX,910
Robertson County,Texas,TX,"16,804"
Rockwall County,Texas,TX,"93,421"
Runnels County,Texas,TX,"10,276"
Rusk County,Texas,TX,"52,892"
Sabine County,Texas,TX,"10,381"
San Augustine County,Texas,TX,"8,288"
San Jacinto County,Texas,TX,"27,732"
San Patricio County,Texas,TX,"67,311"
San Saba County,Texas,TX,"5,922"
Schleicher County,Texas,TX,"3,057"
Scurry County,Texas,TX,"17,394"
Shackelford County,Texas,TX,"3,337"
Shelby County,Texas,TX,"25,566"
Sherman County,Texas,TX,"3,070"
Smith County,Texas,TX,"225,161"
Somervell County,Texas,TX,"8,671"
Starr County,Texas,TX,"63,894"
Stephens County,Texas,TX,"9,377"
Sterling County,Texas,TX,"1,339"
Stonewall County,Texas,TX,"1,401"
Sutton County,Texas,TX,"3,886"
Swisher County,Texas,TX,"7,428"
Tarrant County,Texas,TX,"2,023,556"
Taylor County,Texas,TX,"136,257"
Terrell County,Texas,TX,818
Terry County,Texas,TX,"12,770"
Throckmorton County,Texas,TX,"1,537"
Titus County,Texas,TX,"32,463"
Tom Green County,Texas,TX,"117,634"
Travis County,Texas,TX,"1,206,110"
Trinity County,Texas,TX,"14,543"
Tyler County,Texas,TX,"21,423"
Upshur County,Texas,TX,"40,771"
Upton County,Texas,TX,"3,690"
Uvalde County,Texas,TX,"27,081"
Val Verde County,Texas,TX,"48,911"
Van Zandt County,Texas,TX,"54,367"
Victoria County,Texas,TX,"92,402"
Walker County,Texas,TX,"71,845"
Waller County,Texas,TX,"50,046"
Ward County,Texas,TX,"11,571"
Washington County,Texas,TX,"34,740"
Webb County,Texas,TX,"272,301"
Wharton County,Texas,TX,"41,609"
Wheeler County,Texas,TX,"5,518"
Wichita County,Texas,TX,"131,295"
Wilbarger County,Texas,TX,"12,880"
Willacy County,Texas,TX,"21,761"
Williamson County,Texas,TX,"527,622"
Wilson County,Texas,TX,"48,212"
Winkler County,Texas,TX,"7,915"
Wise County,Texas,TX,"64,478"
Wood County,Texas,TX,"43,753"
Yoakum County,Texas,TX,"8,652"
Young County,Texas,TX,"18,098"
Zapata County,Texas,TX,"14,446"
Zavala County,Texas,TX,"12,121"
Beaver County,Utah,UT,"6,478"
Box Elder County,Utah,UT,"52,975"
Cache County,Utah,UT,"122,201"
Carbon County,Utah,UT,"20,324"
Daggett County,Utah,UT,"1,076"
Davis County,Utah,UT,"341,000"
Duchesne County,Utah,UT,"20,242"
Emery County,Utah,UT,"10,206"
Garfield County,Utah,UT,"4,952"
Grand County,Utah,UT,"9,622"
Iron County,Utah,UT,"49,676"
Juab County,Utah,UT,"11,016"
Kane County,Utah,UT,"7,297"
Millard County,Utah,UT,"12,655"
Morgan County,Utah,UT,"11,370"
Piute County,Utah,UT,"1,459"
Rich County,Utah,UT,"2,313"
Salt Lake County,Utah,UT,"1,120,109"
San Juan County,Utah,UT,"15,329"
Sanpete County,Utah,UT,"29,232"
Sevier County,Utah,UT,"21,131"
Summit County,Utah,UT,"40,512"
Tooele County,Utah,UT,"64,612"
Uintah County,Utah,UT,"36,264"
Utah County,Utah,UT,"590,288"
Wasatch County,Utah,UT,"30,375"
Washington County,Utah,UT,"159,352"
Wayne County,Utah,UT,"2,671"
Weber County,Utah,UT,"247,131"
Addison County,Vermont,VT,"36,931"
Bennington County,Vermont,VT,"35,911"
Caledonia County,Vermont,VT,"30,154"
Chittenden County,Vermont,VT,"161,563"
Essex County,Vermont,VT,"6,224"
Franklin County,Vermont,VT,"48,963"
Grand Isle County,Vermont,VT,"6,921"
Lamoille County,Vermont,VT,"25,331"
Orange County,Vermont,VT,"28,908"
Orleans County,Vermont,VT,"26,766"
Rutland County,Vermont,VT,"59,122"
Washington County,Vermont,VT,"58,355"
Windham County,Vermont,VT,"43,163"
Windsor County,Vermont,VT,"55,345"
Accomack County,Virginia,VA,"32,871"
Albemarle County,Virginia,VA,"106,431"
Alleghany County,Virginia,VA,"15,387"
Amelia County,Virginia,VA,"12,801"
Amherst County,Virginia,VA,"31,887"
Appomattox County,Virginia,VA,"15,528"
Arlington County,Virginia,VA,"231,259"
Augusta County,Virginia,VA,"74,834"
Bath County,Virginia,VA,"4,409"
Bedford County,Virginia,VA,"77,993"
Bland County,Virginia,VA,"6,472"
Botetourt County,Virginia,VA,"33,252"
Brunswick County,Virginia,VA,"16,618"
Buchanan County,Virginia,VA,"22,212"
Buckingham County,Virginia,VA,"17,051"
Campbell County,Virginia,VA,"55,419"
Caroline County,Virginia,VA,"30,099"
Carroll County,Virginia,VA,"29,789"
Charles City County,Virginia,VA,"7,034"
Charlotte County,Virginia,VA,"12,119"
Chesterfield County,Virginia,VA,"338,479"
Clarke County,Virginia,VA,"14,294"
Craig County,Virginia,VA,"5,120"
Culpeper County,Virginia,VA,"50,319"
Cumberland County,Virginia,VA,"9,745"
Dickenson County,Virginia,VA,"15,014"
Dinwiddie County,Virginia,VA,"28,468"
Essex County,Virginia,VA,"11,077"
Fairfax County,Virginia,VA,"1,144,188"
Fauquier County,Virginia,VA,"68,805"
Floyd County,Virginia,VA,"15,677"
Fluvanna County,Virginia,VA,"26,187"
Franklin County,Virginia,VA,"56,158"
Frederick County,Virginia,VA,"84,638"
Giles County,Virginia,VA,"16,827"
Gloucester County,Virginia,VA,"37,114"
Goochland County,Virginia,VA,"22,485"
Grayson County,Virginia,VA,"15,867"
Greene County,Virginia,VA,"19,309"
Greensville County,Virginia,VA,"11,500"
Halifax County,Virginia,VA,"34,990"
Hanover County,Virginia,VA,"104,290"
Henrico County,Virginia,VA,"325,931"
Henry County,Virginia,VA,"51,645"
Highland County,Virginia,VA,"2,210"
Isle of Wight County,Virginia,VA,"36,326"
James City County,Virginia,VA,"73,930"
King and Queen County,Virginia,VA,"7,054"
King George County,Virginia,VA,"25,947"
King William County,Virginia,VA,"16,405"
Lancaster County,Virginia,VA,"10,771"
Lee County,Virginia,VA,"24,165"
Loudoun County,Virginia,VA,"385,546"
Louisa County,Virginia,VA,"35,304"
Lunenburg County,Virginia,VA,"12,319"
Madison County,Virginia,VA,"13,081"
Mathews County,Virginia,VA,"8,769"
Mecklenburg County,Virginia,VA,"30,813"
Middlesex County,Virginia,VA,"10,749"
Montgomery County,Virginia,VA,"98,172"
Nelson County,Virginia,VA,"14,805"
New Kent County,Virginia,VA,"21,009"
Northampton County,Virginia,VA,"12,002"
Northumberland County,Virginia,VA,"12,176"
Nottoway County,Virginia,VA,"15,495"
Orange County,Virginia,VA,"35,354"
Page County,Virginia,VA,"23,619"
Patrick County,Virginia,VA,"17,796"
Pittsylvania County,Virginia,VA,"61,704"
Powhatan County,Virginia,VA,"28,443"
Prince Edward County,Virginia,VA,"23,020"
Prince George County,Virginia,VA,"37,972"
Prince William County,Virginia,VA,"456,496"
Pulaski County,Virginia,VA,"34,249"
Rappahannock County,Virginia,VA,"7,380"
Richmond County,Virginia,VA,"8,758"
Roanoke County,Virginia,VA,"93,528"
Rockbridge County,Virginia,VA,"22,450"
Rockingham County,Virginia,VA,"79,367"
Russell County,Virginia,VA,"27,422"
Scott County,Virginia,VA,"22,082"
Shenandoah County,Virginia,VA,"42,907"
Smyth County,Virginia,VA,"31,126"
Southampton County,Virginia,VA,"18,080"
Spotsylvania County,Virginia,VA,"131,252"
Stafford County,Virginia,VA,"143,501"
Surry County,Virginia,VA,"6,554"
Sussex County,Virginia,VA,"11,414"
Tazewell County,Virginia,VA,"42,155"
Warren County,Virginia,VA,"39,165"
Washington County,Virginia,VA,"54,100"
Westmoreland County,Virginia,VA,"17,649"
Wise County,Virginia,VA,"39,027"
Wythe County,Virginia,VA,"28,912"
York County,Virginia,VA,"67,832"
Alexandria city,Virginia,VA,"156,698"
Bristol city,Virginia,VA,"17,088"
Buena Vista city,Virginia,VA,"6,435"
Charlottesville city,Virginia,VA,"46,943"
Chesapeake city,Virginia,VA,"237,464"
Colonial Heights city,Virginia,VA,"17,398"
Covington city,Virginia,VA,"5,637"
Danville city,Virginia,VA,"41,665"
Emporia city,Virginia,VA,"5,478"
Fairfax city,Virginia,VA,"23,246"
Falls Church city,Virginia,VA,"13,582"
Franklin city,Virginia,VA,"8,201"
Fredericksburg city,Virginia,VA,"28,360"
Galax city,Virginia,VA,"6,604"
Hampton city,Virginia,VA,"135,374"
Harrisonburg city,Virginia,VA,"53,542"
Hopewell city,Virginia,VA,"22,539"
Lexington city,Virginia,VA,"7,148"
Lynchburg city,Virginia,VA,"79,710"
Manassas city,Virginia,VA,"41,189"
Manassas Park city,Virginia,VA,"16,456"
Martinsville city,Virginia,VA,"12,996"
Newport News city,Virginia,VA,"180,209"
Norfolk city,Virginia,VA,"245,680"
Norton city,Virginia,VA,"3,972"
Petersburg city,Virginia,VA,"31,380"
Poquoson city,Virginia,VA,"11,952"
Portsmouth city,Virginia,VA,"95,165"
Radford city,Virginia,VA,"17,324"
Richmond city,Virginia,VA,"225,369"
Roanoke city,Virginia,VA,"99,337"
Salem city,Virginia,VA,"25,252"
Staunton city,Virginia,VA,"24,156"
Suffolk city,Virginia,VA,"89,194"
Virginia Beach city,Virginia,VA,"450,983"
Waynesboro city,Virginia,VA,"21,757"
Williamsburg city,Virginia,VA,"14,884"
Winchester city,Virginia,VA,"27,785"
Adams County,Washington,WA,"19,369"
Asotin County,Washington,WA,"22,286"
Benton County,Washington,WA,"193,494"
Chelan County,Washington,WA,"75,855"
Clallam County,Washington,WA,"74,240"
Clark County,Washington,WA,"465,272"
Columbia County,Washington,WA,"3,975"
Cowlitz County,Washington,WA,"104,740"
Douglas County,Washington,WA,"41,366"
Ferry County,Washington,WA,"7,531"
Franklin County,Washington,WA,"90,199"
Garfield County,Washington,WA,"2,246"
Grant County,Washington,WA,"94,221"
Grays Harbor County,Washington,WA,"71,531"
Island County,Washington,WA,"81,692"
Jefferson County,Washington,WA,"30,910"
King County,Washington,WA,"2,166,350"
Kitsap County,Washington,WA,"263,142"
Kittitas County,Washington,WA,"44,922"
Klickitat County,Washington,WA,"21,286"
Lewis County,Washington,WA,"76,693"
Lincoln County,Washington,WA,"10,335"
Mason County,Washington,WA,"62,142"
Okanogan County,Washington,WA,"41,579"
Pacific County,Washington,WA,"21,285"
Pend Oreille County,Washington,WA,"13,131"
Pierce County,Washington,WA,"862,895"
San Juan County,Washington,WA,"16,309"
Skagit County,Washington,WA,"123,603"
Skamania County,Washington,WA,"11,581"
Snohomish County,Washington,WA,"787,110"
Spokane County,Washington,WA,"496,889"
Stevens County,Washington,WA,"44,141"
Thurston County,Washington,WA,"273,714"
Wahkiakum County,Washington,WA,"4,161"
Walla Walla County,Washington,WA,"60,008"
Whatcom County,Washington,WA,"216,417"
Whitman County,Washington,WA,"48,824"
Yakima County,Washington,WA,"249,327"
Barbour County,West Virginia,WV,"16,749"
Berkeley County,West Virginia,WV,"113,489"
Boone County,West Virginia,WV,"22,809"
Braxton County,West Virginia,WV,"14,323"
Brooke County,West Virginia,WV,"22,663"
Cabell County,West Virginia,WV,"95,681"
Calhoun County,West Virginia,WV,"7,374"
Clay County,West Virginia,WV,"8,829"
Doddridge County,West Virginia,WV,"8,576"
Fayette County,West Virginia,WV,"44,179"
Gilmer County,West Virginia,WV,"8,134"
Grant County,West Virginia,WV,"11,602"
Greenbrier County,West Virginia,WV,"35,532"
Hampshire County,West Virginia,WV,"23,316"
Hancock County,West Virginia,WV,"29,662"
Hardy County,West Virginia,WV,"13,812"
Harrison County,West Virginia,WV,"68,349"
Jackson County,West Virginia,WV,"29,188"
Jefferson County,West Virginia,WV,"55,979"
Kanawha County,West Virginia,WV,"186,196"
Lewis County,West Virginia,WV,"16,289"
Lincoln County,West Virginia,WV,"21,108"
Logan County,West Virginia,WV,"33,674"
McDowell County,West Virginia,WV,"19,192"
Marion County,West Virginia,WV,"56,504"
Marshall County,West Virginia,WV,"31,720"
Mason County,West Virginia,WV,"26,938"
Mercer County,West Virginia,WV,"60,632"
Mineral County,West Virginia,WV,"27,375"
Mingo County,West Virginia,WV,"24,716"
Monongalia County,West Virginia,WV,"105,643"
Monroe County,West Virginia,WV,"13,487"
Morgan County,West Virginia,WV,"17,626"
Nicholas County,West Virginia,WV,"25,381"
Ohio County,West Virginia,WV,"42,629"
Pendleton County,West Virginia,WV,"6,977"
Pleasants County,West Virginia,WV,"7,490"
Pocahontas County,West Virginia,WV,"8,528"
Preston County,West Virginia,WV,"33,760"
Putnam County,West Virginia,WV,"56,675"
Raleigh County,West Virginia,WV,"76,296"
Randolph County,West Virginia,WV,"29,034"
Ritchie County,West Virginia,WV,"9,985"
Roane County,West Virginia,WV,"14,114"
Summers County,West Virginia,WV,"12,978"
Taylor County,West Virginia,WV,"16,952"
Tucker County,West Virginia,WV,"7,053"
Tyler County,West Virginia,WV,"8,967"
Upshur County,West Virginia,WV,"24,680"
Wayne County,West Virginia,WV,"40,724"
Webster County,West Virginia,WV,"8,557"
Wetzel County,West Virginia,WV,"15,644"
Wirt County,West Virginia,WV,"5,767"
Wood County,West Virginia,WV,"85,709"
Wyoming County,West Virginia,WV,"21,777"
Adams County,Wisconsin,WI,"19,982"
Ashland County,Wisconsin,WI,"15,633"
Barron County,Wisconsin,WI,"45,242"
Bayfield County,Wisconsin,WI,"14,923"
Brown County,Wisconsin,WI,"259,514"
Buffalo County,Wisconsin,WI,"13,134"
Burnett County,Wisconsin,WI,"15,222"
Calumet County,Wisconsin,WI,"49,607"
Chippewa County,Wisconsin,WI,"63,523"
Clark County,Wisconsin,WI,"34,485"
Columbia County,Wisconsin,WI,"56,875"
Crawford County,Wisconsin,WI,"16,250"
Dane County,Wisconsin,WI,"531,296"
Dodge County,Wisconsin,WI,"87,382"
Door County,Wisconsin,WI,"27,338"
Douglas County,Wisconsin,WI,"43,359"
Dunn County,Wisconsin,WI,"44,354"
Eau Claire County,Wisconsin,WI,"102,907"
Florence County,Wisconsin,WI,"4,313"
Fond du Lac County,Wisconsin,WI,"102,211"
Forest County,Wisconsin,WI,"9,021"
Grant County,Wisconsin,WI,"51,985"
Green County,Wisconsin,WI,"36,787"
Green Lake County,Wisconsin,WI,"18,596"
Iowa County,Wisconsin,WI,"23,430"
Iron County,Wisconsin,WI,"5,660"
Jackson County,Wisconsin,WI,"20,484"
Jefferson County,Wisconsin,WI,"84,464"
Juneau County,Wisconsin,WI,"26,345"
Kenosha County,Wisconsin,WI,"167,867"
Kewaunee County,Wisconsin,WI,"20,380"
La Crosse County,Wisconsin,WI,"117,681"
Lafayette County,Wisconsin,WI,"16,757"
Langlade County,Wisconsin,WI,"19,083"
Lincoln County,Wisconsin,WI,"27,834"
Manitowoc County,Wisconsin,WI,"79,348"
Marathon County,Wisconsin,WI,"135,101"
Marinette County,Wisconsin,WI,"40,255"
Marquette County,Wisconsin,WI,"15,130"
Menominee County,Wisconsin,WI,"4,527"
Milwaukee County,Wisconsin,WI,"954,841"
Monroe County,Wisconsin,WI,"45,423"
Oconto County,Wisconsin,WI,"37,475"
Oneida County,Wisconsin,WI,"35,329"
Outagamie County,Wisconsin,WI,"184,593"
Ozaukee County,Wisconsin,WI,"88,332"
Pepin County,Wisconsin,WI,"7,250"
Pierce County,Wisconsin,WI,"41,456"
Polk County,Wisconsin,WI,"43,224"
Portage County,Wisconsin,WI,"70,451"
Price County,Wisconsin,WI,"13,413"
Racine County,Wisconsin,WI,"194,846"
Richland County,Wisconsin,WI,"17,556"
Rock County,Wisconsin,WI,"161,320"
Rusk County,Wisconsin,WI,"14,101"
St. Croix County,Wisconsin,WI,"87,598"
Sauk County,Wisconsin,WI,"63,614"
Sawyer County,Wisconsin,WI,"16,320"
Shawano County,Wisconsin,WI,"40,952"
Sheboygan County,Wisconsin,WI,"115,030"
Taylor County,Wisconsin,WI,"20,290"
Trempealeau County,Wisconsin,WI,"29,540"
Vernon County,Wisconsin,WI,"30,553"
Vilas County,Wisconsin,WI,"21,500"
Walworth County,Wisconsin,WI,"102,627"
Washburn County,Wisconsin,WI,"15,621"
Washington County,Wisconsin,WI,"134,310"
Waukesha County,Wisconsin,WI,"398,521"
Waupaca County,Wisconsin,WI,"51,306"
Waushara County,Wisconsin,WI,"24,103"
Winnebago County,Wisconsin,WI,"169,629"
Wood County,Wisconsin,WI,"73,219"
Albany County,Wyoming,WY,"37,923"
Big Horn County,Wyoming,WY,"11,941"
Campbell County,Wyoming,WY,"48,745"
Carbon County,Wyoming,WY,"15,689"
Converse County,Wyoming,WY,"14,094"
Crook County,Wyoming,WY,"7,499"
Fremont County,Wyoming,WY,"40,200"
Goshen County,Wyoming,WY,"13,306"
Hot Springs County,Wyoming,WY,"4,654"
Johnson County,Wyoming,WY,"8,484"
Laramie County,Wyoming,WY,"97,887"
Lincoln County,Wyoming,WY,"19,072"
Natrona County,Wyoming,WY,"80,909"
Niobrara County,Wyoming,WY,"2,468"
Park County,Wyoming,WY,"29,213"
Platte County,Wyoming,WY,"8,662"
Sheridan County,Wyoming,WY,"29,964"
Sublette County,Wyoming,WY,"9,982"
Sweetwater County,Wyoming,WY,"44,222"
Teton County,Wyoming,WY,"23,234"
Uinta County,Wyoming,WY,"20,682"
Washakie County,Wyoming,WY,"8,165"
Weston County,Wyoming,WY,"7,220"
